date,value
2021-01-01,8430
2021-02-01,6154
2021-03-01,7973
2021-04-01,7379
2021-05-01,9100
2021-06-01,8337
2021-07-01,6523
2021-08-01,1762
2021-09-01,1378
2021-10-01,3283
2021-11-01,5083
2021-12-01,8010
2022-01-01,4226
2022-02-01,6293
2022-03-01,30034
2022-04-01,11283
2022-05-01,12728
2022-06-01,5858
2022-07-01,11368
2022-08-01,3509
2022-09-01,3310
2022-10-01,5202
2022-11-01,5049
2022-12-01,10951
2023-01-01,10562
2023-02-01,7802
2023-03-01,8612
2023-04-01,17443
2023-05-01,9022
2023-06-01,12989
2023-07-01,11797
2023-08-01,10878
2023-09-01,5694
2023-10-01,7975
2023-11-01,8985
2023-12-01,23417
2024-01-01,10521
2024-02-01,9759
2024-03-01,15377
2024-04-01,12763
2024-05-01,13424
2024-06-01,17884
2024-07-01,13553
2024-08-01,13170
2024-09-01,7247
2024-10-01,8778
2024-11-01,18369
2024-12-01,17054
